,,2020 RECS Variable and Response Codebook,,,,,
Comment,Include,Variable,Dtype,Type,Description and Labels,Response Codes,Section
UID,y,DOEID,num,Num,Unique identifier for each respondent,100001-118496,ADMIN
should we choose one?,y,REGIONC,cat,Char,Census Region,"Midwest
Northeast
South
West",GEOGRAPHY
should we choose one?,n,DIVISION,,Char,"Census Division, Mountain Division is divided into North and South for RECS purposes","East North Central
East South Central
Middle Atlantic
Mountain North
Mountain South
New England
Pacific
South Atlantic
West North Central
West South Central",GEOGRAPHY
"These are redundant, let's pick one",n,STATE_FIPS,,Char,State Federal Information Processing System Code,state_dictionary!A1,GEOGRAPHY
,y,state_postal,cat,Char,State Postal Code,state_dictionary!A1,GEOGRAPHY
,n,state_name,,Char,State Name,state_dictionary!A1,GEOGRAPHY
,y,BA_climate,cat,Char,Building America Climate Zone,"Cold
Hot-Dry
Hot-Humid
Marine
Mixed-Dry
Mixed-Humid
Subarctic
Very-Cold",ADMIN
,n,IECC_climate_code,,Char,2012 International Energy Conservation Code climate code,"1A
2A
2B
3A
3B
3C
4A
4B
4C
5A
5B
5C
6A
6B
7A
7AK
7B
8AK",ADMIN
,y,UATYP10,cat,Char,2010 Census Urban Type Code,"C Urban cluster
R Rural area
U Urban area",ADMIN
,y,HDD65,num,Num,"Heating degree days in 2020, base temperature 65F; Derived from the weighted temperatures of nearby weather stations",0-17383,WEATHER
,y,CDD65,num,Num,"Cooling degree days in 2020, base temperature 65F; Derived from the weighted temperatures of nearby weather stations",0-5534,WEATHER
,y,HDD30YR_PUB,num,Num,"Heating degree days, 30-year average 1981-2010, base temperature 65F; Taken from nearest weather station, inoculated with random errors",0-16071,WEATHER
,y,CDD30YR_PUB,num,Num,"Cooling degree days, 30-year average 1981-2010, base temperature 65F; Taken from nearest weather station, inoculated with random errors",0-4905,WEATHER
,category,TYPEHUQ,num,Ord,Type of housing unit,"1 Mobile home
2 Single-family house detached from any other house 
3 Single-family house attached to one or more other houses (for example: duplex, row house, or townhome)
4 Apartment in a building with 2 to 4 units
5 Apartment in a building with 5 or more units",YOUR HOME
,outlier,CELLAR,num,Num,Housing unit over a basement,"1 Yes
0 No
-2 Not applicable",YOUR HOME
,outlier,CRAWL,num,Num,Housing unit over a crawlspace,"1 Yes
0 No
-2 Not applicable",YOUR HOME
,outlier,CONCRETE,num,Num,Housing unit over a concrete slab,"1 Yes
0 No
-2 Not applicable",YOUR HOME
,outlier,BASEOTH,num,Num,Housing unit over some other foundation,"1 Yes
0 No
-2 Not applicable",YOUR HOME
,outlier,BASEFIN,num,Num,Finished basement,"1 Yes
0 No
-2 Not applicable",YOUR HOME
,outlier,ATTIC,num,Num,Attic above the housing unit,"1 Yes
0 No
-2 Not applicable",YOUR HOME
,outlier,ATTICFIN,num,Num,Finished attic,"1 Yes
0 No
-2 Not applicable",YOUR HOME
,category,STORIES,cat,Num,Number of stories in a single-family home,"1 One story
2 Two stories
3 Three stories
4 Four or more stories
5 Split-level
-2 Not applicable",YOUR HOME
,outlier,PRKGPLC1,num,Num,Attached garage,"1 Yes
0 No
-2 Not applicable",YOUR HOME
,outlier,SIZEOFGARAGE,num,Num,Size of attached garage,"1 One-car garage
2 Two-car garage
3 Three-or-more-car garage
-2 Not applicable",YOUR HOME
,y,KOWNRENT,cat,Num,Own or rent,"1 Own
2 Rent
3 Occupy without payment of rent",YOUR HOME
,y,YEARMADERANGE,num,Num,Range when housing unit was built,"1 Before 1950
2 1950 to 1959
3 1960 to 1969
4 1970 to 1979
5 1980 to 1989
6 1990 to 1999
7 2000 to 2009
8 2010 to 2015
9 2016 to 2020",YOUR HOME
,y,BEDROOMS,num,Num,Number of bedrooms (top-coded),0 - 6 ,YOUR HOME
,y,NCOMBATH,num,Num,Number of full bathrooms (top-coded),0 - 4,YOUR HOME
,y,NHAFBATH,num,Num,Number of half bathrooms (top-coded),0 - 2,YOUR HOME
,y,OTHROOMS,num,Num,Number of other rooms (top-coded),1 - 9,YOUR HOME
derived - exclude this or the ones above,n,TOTROOMS,,Num,"Total number of rooms in the housing unit, excluding bathrooms; a derived variable",1-15,YOUR HOME
derived - exclude this or the ones above,n,STUDIO,,Num,Studio apartment; a derived variable,"1 Yes
0 No
-2 Not applicable",YOUR HOME
,category,WALLTYPE,cat,Num,Major outside wall material,"1 Brick
2 Wood
3 Siding (aluminum, fiber cement, vinyl, or steel) 
4 Stucco
5 Shingle (composition)
6 Stone 
7 Concrete block 
99 Other",YOUR HOME
,category,ROOFTYPE,cat,Num,Major roofing material; 'Not applicable' applies to apartment buildings with 5 or more units,"1 Ceramic or clay tiles
2 Wood shingles/shakes
3 Metal
4 Slate or synthetic slate
5 Shingles (composition or asphalt)
6 Concrete tiles
99 Other
-2 Not applicable",YOUR HOME
,outlier,HIGHCEIL,num,Num,Any high ceilings; 'Not applicable' applies to mobile homes,"1 Yes
0 No
-2 Not applicable",YOUR HOME
,y,DOOR1SUM,num,Num,Number of sliding glass or French doors,0 - 9,YOUR HOME
,y,WINDOWS,num,Num,Number of windows,"1 1 or 2 windows
2 3 to 5 windows
3 6 to 9 windows
4 10 to 15 windows
5 16 to 19 windows
6 20 to 29 windows
7 30 or more windows",YOUR HOME
,y,TYPEGLASS,num,Num,Type of glass in most windows,"1 Single-pane glass
2 Double-pane glass
3 Triple-pane glass",YOUR HOME
,y,ORIGWIN,num,Num,Mostly original windows in home,"1 Yes
0 No",YOUR HOME
,category,WINFRAME,cat,Num,Window frame material,"1 Wood
2 Metal (aluminum)
3 Vinyl
4 Composite
5 Fiberglass",YOUR HOME
,y,TREESHAD,num,Num,Any large shade trees,"1 Yes
0 No",YOUR HOME
,y,ADQINSUL,cat,Num,Level of insulation; respondent-reported,"1 Well insulated
2 Adequately insulated
3 Poorly insulated
4 Not insulated",YOUR HOME
,y,DRAFTY,cat,Num,How often home is drafty,"1 All the time
2 Most of the time
3 Some of the time
4 Never",YOUR HOME
,y,UGASHERE,num,Num,Natural gas available in neighborhood; respondent-reported,"1 Yes
0 No",YOUR HOME
,outlier,SWIMPOOL,num,Num,Has swimming pool,"1 Yes
0 No
-2 Not applicable",YOUR HOME
,outlier,MONPOOL,num,Num,Months swimming pool used in the past year,"0 - 12
-2  Not applicable",YOUR HOME
,outlier,POOLPUMP,num,Num,Has variable-speed pool pump,"1 Yes
0 No
-2 Not applicable",YOUR HOME
,category,FUELPOOL,cat,Num,Fuel used for heating swimming pool,"0 None, swimming pool is not heated
5 Electricity
1 Natural gas from underground pipes
2 Propane (bottled gas)
3 Fuel oil
99 Other 
-2 Not applicable",YOUR HOME
,y,RECBATH,num,Num,Have hot tub,"1 Yes
0 No",YOUR HOME
,outlier,MONTUB,num,Num,Months hot tub used in the past year,"0 - 12
-2  Not applicable",YOUR HOME
,category,FUELTUB,cat,Num,Fuel used for heating hot tub,"5 Electricity
1 Natural gas from underground pipes
2 Propane (bottled gas)
3 Fuel oil
99 Other 
-2 Not applicable",YOUR HOME
,,NUMFRIG,,Num,Number of refrigerators used,0 - 9,APPLIANCES
*** Do we want to include appliance information?,,SIZRFRI1,,Num,Size of most-used refrigerator,"1 Half-size or compact
2 Small (17.5 cubic feet or less)
3 Medium (17.6 to 22.5 cubic feet)
4 Large (22.6 to 29.5 cubic feet)
5 Very large (bigger than 29.5 cubic feet)
-2 Not applicable",APPLIANCES
