,Label,0,1
REGIONC_MIDWEST,FALSE,0.923046619,0.607097592
REGIONC_MIDWEST,TRUE,0.076953381,0.392902408
REGIONC_NORTHEAST,FALSE,0.951411687,0.648130545
REGIONC_NORTHEAST,TRUE,0.048588313,0.351869455
REGIONC_SOUTH,FALSE,0.474064347,0.872623574
REGIONC_SOUTH,TRUE,0.525935653,0.127376426
REGIONC_WEST,FALSE,0.651477347,0.872148289
REGIONC_WEST,TRUE,0.348522653,0.127851711
state_postal_AK,FALSE,0.975049245,0.99112801
state_postal_AK,TRUE,0.024950755,0.00887199
state_postal_AL,FALSE,0.979120158,0.997148289
state_postal_AL,TRUE,0.020879842,0.002851711
state_postal_AR,FALSE,0.973342088,0.997465146
state_postal_AR,TRUE,0.026657912,0.002534854
state_postal_AZ,FALSE,0.949179251,0.999366286
state_postal_AZ,TRUE,0.050820749,0.000633714
state_postal_CA,FALSE,0.892974393,0.997940431
state_postal_CA,TRUE,0.107025607,0.002059569
state_postal_CO,FALSE,0.989888378,0.96847275
state_postal_CO,TRUE,0.010111622,0.03152725
state_postal_CT,FALSE,0.997898884,0.966730038
state_postal_CT,TRUE,0.002101116,0.033269962
state_postal_DC,FALSE,0.996191727,0.991761724
state_postal_DC,TRUE,0.003808273,0.008238276
state_postal_DE,FALSE,0.989888378,0.994455006
state_postal_DE,TRUE,0.010111622,0.005544994
state_postal_FL,FALSE,0.938411031,1
state_postal_FL,TRUE,0.061588969,0
state_postal_GA,FALSE,0.962311228,0.99207858
state_postal_GA,TRUE,0.037688772,0.00792142
state_postal_HI,FALSE,0.973210768,1
state_postal_HI,TRUE,0.026789232,0
state_postal_IA,FALSE,0.996585686,0.964670469
state_postal_IA,TRUE,0.003414314,0.035329531
state_postal_ID,FALSE,0.982928431,0.985741445
state_postal_ID,TRUE,0.017071569,0.014258555
state_postal_IL,FALSE,0.989363099,0.952154626
state_postal_IL,TRUE,0.010636901,0.047845374
state_postal_IN,FALSE,0.980302035,0.968948035
state_postal_IN,TRUE,0.019697965,0.031051965
state_postal_KS,FALSE,0.993959291,0.980513308
state_postal_KS,TRUE,0.006040709,0.019486692
state_postal_KY,FALSE,0.971109652,0.981147022
state_postal_KY,TRUE,0.028890348,0.018852978
